i,r,t,Value
Nuclear,WA_E,2023,1151.0
Nuclear,WA_E,2026,1151.0
Nuclear,WA_E,2029,1151.0
Nuclear,WA_E,2032,1151.0
o-g-s,CA_LA,2010,4619.6
o-g-s,CA_LA,2015,4626.8
o-g-s,CA_LA,2020,4655.8
o-g-s,CA_LA,2023,3729.6
o-g-s,CA_LA,2026,2360.2
o-g-s,CA_LA,2029,607.9
o-g-s,CA_LA,2032,606.8
o-g-s,CA_N,2010,231.7
o-g-s,CA_N,2015,248.7
o-g-s,CA_N,2020,314.1
o-g-s,CA_N,2023,259.4
o-g-s,CA_N,2026,259.4
o-g-s,CA_N,2029,149.4
o-g-s,CA_N,2032,95.9
o-g-s,CA_S,2015,4.8
o-g-s,CA_S,2020,14.4
o-g-s,CA_S,2023,14.4
o-g-s,CA_S,2026,14.4
o-g-s,CA_S,2029,14.4
o-g-s,CA_S,2032,14.4
o-g-s,CA_SE,2010,176.7
o-g-s,CA_SE,2015,187.3
o-g-s,CA_SE,2020,192.8
o-g-s,CA_SE,2023,188.3
o-g-s,CA_SE,2026,100.6
o-g-s,CA_SE,2029,100.6
o-g-s,CA_SE,2032,79.5
o-g-s,WA_W,2010,7.9
o-g-s,WA_W,2015,7.9
o-g-s,WA_W,2020,7.9
o-g-s,WA_W,2023,7.9
o-g-s,WA_W,2026,7.9
o-g-s,WA_W,2029,7.9
o-g-s,WA_W,2032,2.5
pumped-hydro,CA_LA,2010,1623.0
pumped-hydro,CA_LA,2015,1623.0
pumped-hydro,CA_LA,2020,1623.0
pumped-hydro,CA_LA,2023,1623.0
pumped-hydro,CA_LA,2026,1623.0
pumped-hydro,CA_LA,2029,1623.0
pumped-hydro,CA_LA,2032,1623.0
pumped-hydro,CA_N,2010,835.1
pumped-hydro,CA_N,2015,835.1
pumped-hydro,CA_N,2020,835.1
pumped-hydro,CA_N,2023,835.1
pumped-hydro,CA_N,2026,835.1
pumped-hydro,CA_N,2029,881.031308
pumped-hydro,CA_N,2032,881.031308
pumped-hydro,CA_S,2010,1411.8
pumped-hydro,CA_S,2015,1411.8
pumped-hydro,CA_S,2020,1411.8
pumped-hydro,CA_S,2023,1411.8
pumped-hydro,CA_S,2026,1411.8
pumped-hydro,CA_S,2029,1411.8
pumped-hydro,CA_S,2032,1411.8
pumped-hydro,CA_SE,2015,42.0
pumped-hydro,CA_SE,2020,42.0
pumped-hydro,CA_SE,2023,42.0
pumped-hydro,CA_SE,2026,42.0
pumped-hydro,CA_SE,2029,1486.666667
pumped-hydro,CA_SE,2032,1486.666667
pumped-hydro,OR_W,2029,800.0
pumped-hydro,OR_W,2032,800.0
pumped-hydro,WA_E,2010,314.0
pumped-hydro,WA_E,2015,314.0
pumped-hydro,WA_E,2020,314.0
pumped-hydro,WA_E,2023,314.0
pumped-hydro,WA_E,2026,314.0
pumped-hydro,WA_E,2029,314.0
pumped-hydro,WA_E,2032,314.0
hydND,WA_W,2015,7.9
hydND,WA_W,2020,21.9
hydND,WA_W,2023,21.9
hydND,WA_W,2026,21.9
hydND,WA_W,2029,21.9
hydND,WA_W,2032,21.9
hydUD,CA_N,2029,6.933333
hydUD,CA_N,2032,435.075815
hydUD,CA_S,2032,143.049185
hydUD,OR_E,2032,165.881938
hydUD,OR_W,2032,28.919062
hydUD,WA_E,2015,732.0
hydUD,WA_E,2020,1220.0
hydUD,WA_E,2023,1220.0
hydUD,WA_E,2026,1220.0
hydUD,WA_E,2029,1316.56763
hydUD,WA_E,2032,1316.56763
hydUD,WA_W,2015,26.7
hydUD,WA_W,2020,26.7
hydUD,WA_W,2023,26.7
hydUD,WA_W,2026,26.7
hydUD,WA_W,2029,26.7
hydUD,WA_W,2032,319.26137
hydUND,CA_N,2015,6.5
hydUND,CA_N,2020,9.2
hydUND,CA_N,2023,9.2
hydUND,CA_N,2026,10.6
hydUND,CA_N,2029,10.6
hydUND,CA_N,2032,197.390392
hydUND,CA_S,2020,7.3
hydUND,CA_S,2023,7.3
hydUND,CA_S,2026,7.3
hydUND,CA_S,2029,7.3
hydUND,CA_S,2032,28.726894
hydUND,CA_SE,2026,5.1
hydUND,CA_SE,2029,5.1
hydUND,CA_SE,2032,5.1
hydUND,OR_E,2010,3.3
hydUND,OR_E,2015,7.4
hydUND,OR_E,2020,7.4
hydUND,OR_E,2023,7.4
hydUND,OR_E,2026,7.4
hydUND,OR_E,2029,7.4
hydUND,OR_E,2032,7.4
hydUND,OR_W,2015,1.0
hydUND,OR_W,2020,2.1
hydUND,OR_W,2023,20.1
hydUND,OR_W,2026,20.1
hydUND,OR_W,2029,20.1
hydUND,OR_W,2032,39.534
hydUND,WA_E,2029,273.43237
hydUND,WA_E,2032,273.43237
hydUND,WA_W,2015,18.7
hydUND,WA_W,2020,18.7
hydUND,WA_W,2023,18.7
hydUND,WA_W,2026,18.7
hydUND,WA_W,2029,18.7
hydUND,WA_W,2032,18.7
hydNPND,CA_LA,2032,5.196
hydNPND,OR_W,2015,7.5
hydNPND,OR_W,2020,7.5
hydNPND,OR_W,2023,7.5
hydNPND,OR_W,2026,7.5
hydNPND,OR_W,2029,7.5
hydNPND,OR_W,2032,7.5
hydED,CA_LA,2020,1.3
hydED,CA_LA,2023,1.3
hydED,CA_LA,2026,1.3
hydED,CA_LA,2029,1.3
hydED,CA_LA,2032,1.3
hydED,CA_N,2010,3141.1
hydED,CA_N,2015,3141.1
hydED,CA_N,2020,3141.1
hydED,CA_N,2023,3141.1
hydED,CA_N,2026,3141.1
hydED,CA_N,2029,3141.1
hydED,CA_N,2032,3141.1
hydED,CA_S,2010,349.1
hydED,CA_S,2015,349.1
hydED,CA_S,2020,349.1
hydED,CA_S,2023,349.1
hydED,CA_S,2026,349.1
hydED,CA_S,2029,349.1
hydED,CA_S,2032,349.1
hydED,CA_SE,2010,120.0
hydED,CA_SE,2015,120.0
